83,2554
619,2265
111,2504
532,2725
184,694
571,714
699,3239
382,1422
388,3078
342,892
99,705
641,1147
514,2316
262,1321
444,798
168,1134
245,2622
676,2563
682,843
315,2873
92,2596
426,1457
37,1446
282,3593
577,539
235,2494
299,2779
149,3539
241,584
329,1005
206,2608
532,1594
132,2566
332,2985
21,2572
461,3083
40,620
185,429
375,2403
361,2754
228,76
322,707
176,2088
577,1695
214,2755
297,1096
96,1965
552,2768
431,540
229,1533
221,3080
140,646
505,2678
85,1640
553,3090
521,1100
164,3035
632,1322
60,563
227,396
301,2511
631,2686
412,2503
471,2993
136,304
632,2778
667,710
582,485
331,259
667,2658
24,2607
635,2895
151,1504
193,823
271,2745
443,2723
442,216
24,1358
332,1312
417,2829
449,1697
444,1314
618,2377
218,548
506,2564
218,2666
468,615
336,624
197,1030
89,1004
690,2788
474,707
229,2823
354,2459
292,1634
219,609
272,2585
311,1235
59,2479
296,2707
165,2813
588,2466
366,474
115,2869
448,1137
473,649
549,3262
252,844
81,185
471,1822
699,2460
401,454
405,697
180,1270
262,1078
524,2442
614,2181
227,2881
366,3016
666,441
273,732
630,1535
143,2978
43,914
205,3382
503,689
434,2448
582,574
215,2792
642,2729
215,835
445,2796
256,3009
91,1260
100,1048
691,241
233,999
301,1304
153,529
548,1429
226,2231
272,2708
581,2321
101,837
137,2502
58,3589
265,1718
342,791
292,1400
283,1163
133,429
688,310
637,713
156,2727
681,773
470,534
337,1365
588,1189
654,1218
534,166
247,2374
360,2875
224,2976
400,2597
539,740
496,2500
282,1509
71,1355
63,671
604,2593
538,1529
42,2066
147,1397
377,587
475,2734
70,463
302,1446
422,1327
261,2436
93,2472
170,2427
161,1720
69,2571
304,2335
567,1398
515,3384
181,946
103,614
629,444
106,582
633,3430
546,2030
344,722
378,2338
143,1017
141,2869
455,2252
136,919
99,669
323,1571
645,2960
353,2617
84,3101
598,2802
260,294
222,3123
325,421
350,2553
454,2508
213,2558
551,2643
559,2481
8,2994
86,2419
635,3186
476,474
358,2732
284,3299
275,1267
279,946
419,2999
437,1986
577,269
513,3201
481,1420
63,1247
323,2750
265,1867
527,556
443,2568
676,2586
291,3057
145,705
145,2941
311,2822
678,636
389,1333
143,2798
70,3436
420,566
342,2209
664,2726
137,307
129,2670
211,1106
421,667
529,3027
483,1198
301,183
68,2739
468,2779
200,2354
694,443
553,661
509,1252
238,912
142,814
409,3115
515,2854
57,3042
81,1440
371,1250
338,1209
656,2531
189,597
224,1419
626,373
366,955
317,764
119,1309
143,1428
231,2703
627,2602
550,2805
376,1463
349,365
352,310
679,862
542,1391
474,1518
434,2523
688,3113
571,1313
533,2625
570,2549
391,2274
412,2780
500,305
422,2905
326,496
564,369
691,2885
242,2587
555,2743
575,2917
72,923
558,2144
70,2648
61,1564
144,1316
612,2521
334,2781
663,1475
643,1172
669,3036
483,795
122,3316
150,2766
284,2661
86,423
236,481
608,665
615,2734
129,2796
407,1518
519,1318
228,2044
291,370
151,733
261,1037
607,1420
9,790
223,678
625,1802
267,614
6,2307
87,2682
141,2373
652,2695
633,1590
131,2765
308,3433
422,2106
192,1522
376,1149
111,1462
336,1478
68,2924
83,1757
212,1483
635,1381
133,3229
70,1143
7,1223
5,2442
67,365
533,1429
535,3508
477,2461
239,709
90,1164
90,306
346,835
465,2764
682,1195
27,455
148,151
681,593
444,54
214,1374
522,2768
411,322
496,562
72,2366
124,3126
618,847
643,113
688,528
5,2906
554,416
438,3223
292,1361
579,1343
527,724
571,2
287,3186
186,2509
6,3297
33,964
90,2737
161,2589
524,1508
46,865
406,1158
113,2742
491,2896
444,2351
95,1875
560,2398
408,735
207,712
267,617
454,2658
103,1531
172,2475
654,1500
152,1218
698,46
191,542
312,2180
230,1166
389,380
50,2753
501,2403
536,2585
405,487
325,2002
566,1484
172,2286
96,524
457,2604
623,1485
431,383
644,2579
650,550
425,1594
29,2637
457,3320
649,2426
337,1278
168,1067
517,1191
323,568
68,2823
272,2793
379,2695
100,2194
404,2719
441,2773
645,2502
350,2550
343,2940
667,2114
175,611
121,2330
443,735
566,2984
325,2390
309,953
656,2395
101,917
159,2553
214,1325
